year,women,men,perc_women_all_degrees,perc_men_all_degrees,degree_type,ethniciy_race
2005,14668,12988,0.284313155,0.251749336,PhD,white
2006,15126,13439,0.27505819,0.244381001,PhD,white
2007,16743,13808,0.282916526,0.233322068,PhD,white
2008,13630,10911,0.285828126,0.228809294,PhD,white
2009,11070,8656,0.300455977,0.234936489,PhD,white
2010,14215,13314,0.258793329,0.242390038,PhD,white
2011,14416,13509,0.256425764,0.240292428,PhD,white
2012,14918,13900,0.255567738,0.23812787,PhD,white
2013,15271,14551,0.251905249,0.240028373,PhD,white
2014,15953,14768,0.254121732,0.235245392,PhD,white
2015,16163,15192,0.251489832,0.236381459,PhD,white
2016,16186,15159,0.24951826,0.233686352,PhD,white
2017,16262,15117,0.246170148,0.228837421,PhD,white
